user_id,nates_score
gi_pi_2001_06_27_869_f,32
sa_lu_2002_10_25_220_f,23
vi_am_1998_01_20_658_f,28
sa_pa_2001_11_27_632_f,12
ir_vi_2002_10_23_179_f,16
al_ne_2002_06_30_405_f,21
ma_pi_1992_09_01_359_f,35
lo_pa_2002_01_01_246_f,25
al_fo_1998_12_05_663_f,15
ce_to_2000_07_02_554_f,37
sa_ma_1996_12_29_720_f,15
gi_si_2002_04_23_023_f,15
ma_va_1995_03_22_985_f,17
ch_tr_2002_04_05_446_f,12
li_ma_2002_10_16_674_f,36
ge_sa_2002_03_12_633_f,31
fr_pr_2002_02_27_142_f,19
el_sc_2001_11_19_090_f,24
vi_io_1994_08_17_277_f,26
mi_fa_1991_07_12_626_m,16
ji_li_2001_12_24_870_f,27
ma_ma_2002_07_16_468_f,14
ca_to_2002_06_18_995_f,28
cl_ta_2001_12_17_692_f,24
ma_ro_1997_05_04_174_m,30
el_ma_1997_03_04_563_f,33
al_ma_2002_01_25_787_f,10
el_ma_2002_05_04_563_f,35
ca_pi_2002_02_27_008_f,16
al_ca_2004_02_20_708_m,34
ma_in_1997_04_19_396_f,35
gi_la_2001_12_05_969_f,16
to_fi_1994_01_19_121_m,33
ma_lo_2002_03_15_491_f,12
al_la_1998_11_06_661_f,25
fa_sa_1998_01_08_860_f,26
ni_me_2001_11_16_857_f,33
an_me_1997_04_23_952_f,16
au_sa_2002_01_21_623_f,26
sa_ce_1996_10_07_346_f,32
de_mi_2002_12_05_800_f,23
li_ri_2000_03_23_998_f,24
gi_pi_1997_10_29_583_f,14
su_ri_2003_01_12_879_f,23
lu_te_2002_05_01_691_m,24
ir_bu_1996_02_01_144_f,14
el_pu_2002_11_04_983_f,21
ma_ol_1998_05_20_876_f,15
so_ca_1998_02_28_630_f,18
cl_nu_1998_09_11_110_f,24
lu_ta_2002_06_07_018_f,11
le_pe_2000_06_03_133_m,17
wi_tr_1998_06_12_105_m,34
re_se_2002_08_20_598_f,23
vi_fl_1998_10_17_074_f,29
il_de_1988_09_10_739_f,31
gi_va_2002_01_25_202_f,17
yl_te_2002_05_28_047_f,19
er_fa_1995_08_03_469_f,32
no_po_1999_12_16_983_f,29
al_sa_2001_12_15_910_m,37
to_to_2002_06_09_367_m,27
ir_ma_2002_07_03_236_f,24
no_ga_1997_05_07_157_f,30
da_ma_1998_04_08_562_m,34
ma_ma_2001_09_18_345_f,21
gi_pa_2002_10_12_305_f,25
as_pa_2002_08_12_709_f,26
lo_sc_2002_11_29_242_m,20
gi_po_2001_05_08_620_m,31
as_to_2002_10_16_853_f,8
ti_mo_1995_09_23_529_m,32
ja_na_2001_10_12_379_m,26
fr_la_1985_01_29_074_m,33
as_so_1997_08_07_814_f,30
ma_va_2002_05_28_277_f,7
ma_me_2002_09_24_164_f,27
da_pa_1999_11_10_406_m,21
st_nu_2003_03_17_054_f,26
gr_ni_2002_12_07_797_f,17
lu_pa_2001_10_30_998_f,25
an_mo_2002_08_25_118_f,29
be_ud_2002_07_18_729_f,23
sa_sa_2000_03_16_128_f,12
al_ra_1994_06_28_588_m,32
sa_ta_2001_03_30_732_f,31
el_re_2002_10_30_636_f,16
ga_lo_2002_09_06_662_f,31
li_pa_1971_06_11_419_f,34
sa_vi_1998_12_29_896_f,29
re_me_1979_05_23_669_f,34
ba_mo_1996_05_28_736_f,30
ag_pe_2002_04_26_855_f,19
ca_pe_2001_03_05_435_f,14
ma_ma_2002_04_01_487_f,35
ma_ma_2002_03_03_029_f,29
sa_ro_2002_05_30_032_f,25
ga_si_2001_12_24_039_f,40
ga_la_2001_11_01_819_f,16
il_ma_2003_01_03_168_f,21
la_ro_1962_11_28_490_f,26
el_ch_1996_06_15_137_f,26
cl_pa_2002_08_18_019_f,15
au_na_2001_11_12_839_f,26
ma_ma_2002_10_19_612_f,15
da_pa_1998_07_27_957_f,29
gr_ma_2003_01_10_460_f,34
ma_po_2000_06_18_024_m,17
sa_pa_2002_04_12_649_f,15
al_be_1995_11_05_575_f,15
fe_me_2002_06_04_722_f,12
re_la_2002_11_09_396_f,33
gi_bo_1998_07_08_603_f,32
ma_sc_2001_07_11_916_f,20
ch_sp_1999_07_28_920_f,21
ni_me_2002_08_15_786_f,25
al_sp_1996_06_19_728_f,36
ga_le_2002_07_10_059_f,21
gr_ma_2002_05_07_205_f,28
mi_ti_2002_06_02_645_m,21
gi_ze_2002_06_17_601_f,28
vi_vi_2002_03_24_350_f,22
gi_ca_1998_02_23_938_f,28
ag_sa_2002_08_20_397_f,21
bi_de_1997_06_16_173_f,22
ma_co_1960_01_16_386_f,22
ma_gu_1997_01_03_207_f,28
gi_co_1998_07_08_738_f,27
ma_tu_1998_11_05_966_f,23
gi_pe_2001_09_20_004_m,26
ma_sc_1998_08_02_990_f,33
ca_pa_2002_07_17_286_f,18
ta_ma_2002_06_22_226_f,14
ni_pe_1978_01_21_466_m,25
ch_ma_2001_02_26_711_f,25
lu_li_2001_11_15_130_f,17
bl_gr_1997_12_22_170_f,20
al_te_2000_10_05_491_f,17
ma_st_2002_10_22_911_f,29
gi_pa_1996_01_02_251_f,20
cl_ba_1998_03_06_138_f,23
va_ro_1998_10_07_040_f,16
al_pa_2002_08_26_360_f,24
ma_ro_1998_05_12_260_f,28
si_fo_1991_06_07_244_f,22
le_ne_1998_06_24_630_m,35
al_vi_2002_05_22_829_m,14
se_st_2002_09_02_204_f,15
em_si_2002_11_08_007_f,16
so_ma_2002_05_04_823_f,16
ma_pa_1999_12_01_514_f,17
fr_co_1998_07_15_055_f,10
al_ro_2001_10_28_111_f,17
ch_ru_1997_09_06_566_f,11
vi_re_1997_08_07_899_f,18
mo_ma_1999_02_24_161_f,29
kr_al_1994_04_06_276-f,37
da_bo_1972_02_17_476_m,31
re_la_1997_08_07_327_f,23
ma_fr_1997_11_01_250_f,28
gi_se_1994_11_23_521_f,23
ma_fa_1995_03_05_009_f,35
ma_pa_2002_03_03_391_f,23
el_lu_2002_04_30_278_f,17
ce_bu_1995_08_06_326_f,24
si_av_1994_11_01_217_f,23
an_pa_2002_05_21_686_f,23
ni_so_2002_01_06_139_f,10
el_pi_2001_09_08_696_f,25
cl_ca_1998_11_16_863_f,13
em_mi_2002_06_08_256_m,25
ch_de_1997_06_17_639_f,36
no_na_1997_14_97_364_f,20
de_da_1992_10_13_742_f,36
ch_pi_2002_04_07_152_f,32
si_tr_1996_03_05_693_m,35
be_ci_1990_02_18_371_f,42
gi_zo_2002_05_12_539_f,34
ca_pa_1966_03_15_755_f,26
vi_le_2002_08_06_589_f,20
fl_na_2002_08_01_748_f,25
sa_ma_1998_01_05_167_f,28
ma_pa_1997_11_12_436_f,34
lo_ma_1998_03_18_745_m,36
em_ve_2002_08_29_345_f,25
ma_sa_2001_02_07_791_f,15
gi_vi_2002_05_02_185_f,21
fe_lu_2002_04_24_874_f,30
ar_st_1997_03_20_288_f,20
pa_dg_1978_01_04_385_f,26
an_pe_1976_05_03_337_m,28
ma_pe_1999_12_26_891_f,20
an_sa_1994_12_16_837_m,24
ir_ro_1985_08_26_745_f,20
li_se_2002_12_21_740_f,11
bi_tr_2002_07_01_356_f,24
lo_ri_1997_02_10_817_m,26
en_cr_1997_01_31_141_m,31
ax_pe_1997_03_12_200_m,31
gi_to_2002_01_15_962_m,15
ga_vi_2002_03_10_308_m,21
st_da_1957_12_26_419_m,33
le_ma_2000_08_10_646_m,17
ch_ba_1989_06_05_272_f,49
ar_cr_1996_08_05_738_f,14
la_ma_2002_08_09_084_f,20
yu_tr_1994_05_04_676_f,26
fr_fi_1958_05_04_854_m,31
la_ma_2002_07_25_217_f,26
ma_re_2001_11_27_781_f,26
an_si_1992_09_30_776_m,28
gi_bo_2001_04_27_997_m,7
ma_nu_1979_08_13_500_f,33
gi_tu_1998_08_02_644_f,19
al_pi_1996_09_13_817_m,13
be_me_2003_02_24_737_f,16
ri_ma_2002_11_20_973_m,22
ca_me_2002_12_23_343_f,12
ag_cr_2003_09_20_111_f,25
si_ma_1997_02_09_841_f,23
ga_dr_1992_11_25_891_f,37
be_ni_2002_09_24_938_f,17
da_ro_1995_07_26_757_m,29
lu_lo_1995_07_30_092_m,23
as_ab_1996_08_28_775_f,35
gi_sa_2002_12_05_511_m,19
se_ma_1990_11_30_767_m,37
em_be_1997_09_17_132_m,32
lu_do_1970_12_14_100_f,39
ca_ta_1997_04_20_739_f,31
la_do_1968_12_17_062_f,33
ga_ma_1997_04_05_459_f,26
vi_be_1997_01_09_423_f,25
ra_mu_2001_07_23_080_f,25
el_pe_2002_12_11_000_f,25
ma_sp_2002_07_30_267_f,14
fr_ma_1987_09_29_884_f,25
da_la_1970_02_28_647_f,22
sa_fe_1996_10_20_817_f,25
to_va_1990_04_12_949_m,32
gi_bo_1997_08_17_692_f,19
fi_ca_1992_11_24_582_m,39
cr_vo_1965_01_01_813_f,40
ed_sa_2001_05_16_570_m,21
fr_ad_1992_08_25_621_m,23
ya_la_2001_05_17_494_f,22
ma_ze_1997_04_28_306_m,33
to_ca_1992_08_19_294_m,21
na_at_1989_11_23_808_m,21
gi_sg_1996_04_09_655_f,20
vi_si_2002_08_19_930_f,30
en_mi_1969_10_31_341_f,20
lu_be_1968_12_14_157_m,24
es_to_1996_04_16_738_f,29
fr_ma_2002_01_18_518_m,29
ma_bo_2000_12_28_153_m,33
ca_de_2000_09_04_000_f,22
el_pe_1985_03_15_417_f,28
no_di_2000_07_09_084_f,20
sa_pe_1998_08_30_140_f,14
sa_gi_2000_09_09_088_f,23
fr_li_1999_01_04_374_f,10
ch_bu_2000_08_28_842_f,12
ma_ca_2000_06_07_374_f,21
ar_fi_2000_09_28_557_f,19
al_ga_2001_01_19_641_f,22
cr_ma_2000_05_04_894_f,23
vi_re_1998_07_07_632_f,21
al_sa_2001_01_08_300_f,20
el_ma_1997_10_19_704_f,18
to_ne_2000_12_15_974_m,29
nu_ta_1976_07_20_360_m,29
se_bo_1999_12_25_497_f,30
ch_va_2000_04_20_119_f,27
lo_ne_1999_03_30_299_f,7
li_ca_1999_12_24_089_f,20
sa_ma_1998_03_17_675_f,24
co_gi_2000_01_27_096_f,17
au_al_2000_09_13_200_f,22
gi_la_2000_04_09_162_f,21
an_ra_1999_05_30_093_f,30
al_fe_1978_06_14_547_f,36
an_sz_1999_07_10_265_f,11
da_ga_2000_10_03_215_f,34
ir_ro_2000_01_09_922_f,26
gi_bi_1999_05_11_480_f,15
ma_cu_2000_10_31_638_f,24
sa_la_2000_07_05_596_f,35
el_le_1998_05_07_212_f,30
co_fa_1998_10_22_572_f,18
ma_ri_2000_10_15_529_f,18
an_va_2000_02_27_112_m,26
fr_di_1999_07_23_617_m,29
ma_tr_2000_11_10_536_f,23
er_co_2000_12_04_084_f,8
ch_ma_2000_06_05_667_f,22
fr_ma_2000_11_07_432_f,22
da_ma_1999_03_20_644_m,38
ar_gi_1994_09_17_143_f,21
ce_bu_2000_04_14_337_f,27
el_bo_2000_07_15_336_f,13
an_st_ve_2002_04_08_976_f,34
ia_an_2000_04_05_431_f,24
fr_vi_1998_02_11_212_f,10
an_fo_2000_11_24_424_f,31
ma_pa_2000_12_15_362_f,22
de_ca_2000_05_13_261_f,28
il_na_2000_03_16_498_f,30
ch_gj_2000_05_02_216_f,28
li_bo_2000_07_24_262_f,17
al_ta_1998_09_06_549_f,27
fr_la_2000_09_28_698_f,16
gi_fe_2000_01_15_967_f,23
fr_fa_1999_04_27_330_f,23
ev_lo_1999_02_08_396_f,17
ed_ca_2000_11_06_086_m,28
ch_ga_2001_11_09_087_f,19
co_gu_2000_07_25_832_f,21
la_ta_2000_03_02_786_f,21
ch_po_2000_08_07_151_f,14
sa_mu_2000_06_16_732_f,19
ju_do_2000_05_23_608_f,17
ir_ro_1999_06_26_855_f,28
no_gi_1998_10_19_821_f,34
il_ga_2000_11_02_873_f,26
au_sa_2000_04_18_979_f,22
mi_an_2000_07_21_542_f,19
gi_ro_1998_03_25_382_f,11
fr_ve_1999_01_07_843_f,37
al_na_2000_11_04_412_f,19
er_ca_1999_01_316_f,21
fe_co_2000_08_09_498_m,17
em_va_2000_02_11_669_f,18
le_st_2000_08_05_068_f,23
an_ga_1999_07_31_073_m,24
be_ba_2000_11_16_082_f,16
cl_be_1980_09_22_062_f,34
ir_co_1996_09_14_990_f,20
va_fa_1992_03_30_800_f,18
gi_de_2000_05_01_126_f,17
il_co_2000_02_17_873_f,19
au_fe_2000_04_16_652_f,26
fr_er_2000_06_09_383_f,16
je_be_1999_12_16_900_f,23
an_pi_2000_08_12_773_f,18
yl_ma_2000_09_16_613_f,15
ma_al_2000_05_26_624_m,36
vi_co_2000_12_01_146_f,19
fr_qu_2000_03_07_391_f,28
ru_ro_1998_07_02_501_f,18
el_lu_2000_01_20_337_f,25
ga_bu_2000_08_06_000_f,21
ca_pa_1999_11_19_544_f,20
ch_be_1998_08_11_011_f,28
ca_ca_2000_12_08_220_f,19
gi_va_2000_10_27_812_f,13
an_bo_1988_08_24_166_f,21
gi_ma_2000_07_03_573_f,26
de_sc_2000_10_27_798_f,23
la_sa_2000_04_24_139_f,28
li_bu_2000_07_13_102_f,20
fr_av_2000_09_06_692_f,8
ce_me_2000_10_03_351_f,19
sa_ro_1999_10_06_740_f,11
gi_pa_1998_09_14_385_f,35
ha_am_1999_12_02_928_f,11
so_al_1998_05_20_025_f,23
il_pa_2000_05_05_178_f,10
fr_ra_1992_07_12_212_f,15
ch_la_2000_08_02_899_f,24
fr_ar_2000_09_23_472_f,12
so_co_2000_05_03_616_f,34
si_pa_1999_07_07_119_f,33
sa_ce_2000_05_29_332_f,27
cl_ro_1999_09_14_930_f,20
