user_id,rscs_1,rscs_2,rscs_3,rscs_4,rscs_5,rscs_6,rscs_7,rscs_8,rscs_9,rscs_10,rscs_11,rscs_12,rscs_13,rscs_14,rscs_15,rscs_16
gi_vi_2002_05_02_185_f,2,2,3,2,1,2,2,3,2,3,4,3,2,2,2,3
fe_lu_2002_04_24_874_f,2,3,4,2,4,2,3,1,1,2,1,3,2,4,1,2
ar_st_1997_03_20_288_f,2,2,3,2,4,2,2,1,3,3,2,3,2,4,3,3
pa_dg_1978_01_04_385_f,2,1,3,2,2,1,2,1,2,2,1,3,1,2,2,3
an_pe_1976_05_03_337_m,2,2,1,3,3,3,3,3,3,2,2,2,2,3,3,3
ma_pe_1999_12_26_891_f,3,2,3,2,3,2,2,2,2,2,2,3,2,4,2,2
an_sa_1994_12_16_837_m,3,2,4,2,4,2,2,1,3,3,1,3,2,4,4,4
ir_ro_1985_08_26_745_f,4,1,4,3,2,3,3,2,2,3,3,4,2,4,2,3
li_se_2002_12_21_740_f,3,2,4,1,4,2,2,2,3,3,3,2,1,4,3,2
bi_tr_2002_07_01_356_f,2,3,3,3,4,3,3,1,3,3,2,3,2,3,3,3
lo_ri_1997_02_10_817_m,2,3,2,2,2,3,3,2,3,2,1,3,2,2,3,3
en_cr_1997_01_31_141_m,2,3,3,2,3,2,3,1,3,4,2,2,2,2,3,4
ax_pe_1997_03_12_200_m,3,2,3,3,3,3,2,1,3,4,1,3,3,4,3,4
gi_to_2002_01_15_962_m,2,2,4,2,4,1,3,1,4,4,1,2,2,4,3,3
ga_vi_2002_03_10_308_m,1,4,4,1,3,3,3,2,1,1,2,3,1,4,1,2
st_da_1957_12_26_419_m,2,4,4,3,3,3,3,1,2,3,2,4,3,4,4,3
le_ma_2000_08_10_646_m,2,3,4,1,4,2,3,1,2,2,2,2,1,4,3,2
ch_ba_1989_06_05_272_f,4,1,4,4,4,2,2,1,3,3,1,3,4,4,4,4
ar_cr_1996_08_05_738_f,3,3,4,1,4,3,3,4,3,4,1,3,3,4,2,4
la_ma_2002_08_09_084_f,2,3,4,2,3,2,2,2,3,2,2,3,3,4,3,4
yu_tr_1994_05_04_676_f,2,3,4,3,4,2,3,1,2,2,1,3,3,4,3,3
fr_fi_1958_05_04_854_m,3,3,4,3,2,2,2,2,3,3,2,2,2,4,3,3
la_ma_2002_07_25_217_f,2,3,4,3,4,3,3,1,3,2,1,3,3,4,3,3
ma_re_2001_11_27_781_f,3,2,2,2,3,2,2,1,3,3,3,2,2,3,4,4
an_si_1992_09_30_776_m,3,2,4,2,4,2,3,1,4,4,2,2,2,4,4,4
gi_bo_2001_04_27_997_m,3,3,4,1,3,3,2,1,3,3,1,2,2,3,3,4
ma_nu_1979_08_13_500_f,3,1,4,2,3,1,2,1,4,4,2,2,2,4,4,4
gi_tu_1998_08_02_644_f,2,4,2,1,2,4,4,2,2,1,3,3,1,2,1,2
al_pi_1996_09_13_817_m,2,4,3,1,4,2,3,2,3,3,4,1,3,3,3,3
be_me_2003_02_24_737_f,3,4,4,2,4,3,4,2,3,3,3,2,2,4,3,3
ri_ma_2002_11_20_973_m,3,2,3,3,3,2,2,2,3,3,2,3,3,3,3,3
ca_me_2002_12_23_343_f,3,1,4,1,3,1,2,1,4,3,1,1,1,4,4,4
ag_cr_2003_09_20_111_f,3,4,3,2,3,4,4,1,3,2,1,2,2,4,2,2
si_ma_1997_02_09_841_f,3,2,3,2,4,1,3,1,3,4,1,3,2,3,3,4
ga_dr_1992_11_25_891_f,4,2,4,4,4,2,2,1,3,4,1,4,4,4,4,4
be_ni_2002_09_24_938_f,2,2,4,2,4,3,2,1,3,3,1,3,3,4,3,4
da_ro_1995_07_26_757_m,3,2,4,2,4,3,2,1,3,4,2,3,2,4,4,4
lu_lo_1995_07_30_092_m,2,3,3,2,3,3,3,2,3,3,2,3,2,3,3,3
as_ab_1996_08_28_775_f,4,2,4,4,4,3,4,3,4,4,4,3,4,3,4,4
gi_sa_2002_12_05_511_m,2,4,4,1,4,4,4,2,2,3,1,1,2,4,2,3
se_ma_1990_11_30_767_m,3,4,3,1,2,4,4,2,4,2,2,3,2,3,3,3
em_be_1997_09_17_132_m,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
lu_do_1970_12_14_100_f,3,3,3,2,2,2,2,2,4,3,4,2,2,2,3,3
ca_ta_1997_04_20_739_f,3,1,4,4,4,1,1,1,3,3,1,4,4,4,3,4
la_do_1968_12_17_062_f,2,2,4,4,3,2,2,2,4,4,3,4,4,3,4,4
ga_ma_1997_04_05_459_f,3,2,3,2,4,1,2,1,3,3,1,4,3,1,3,3
vi_be_1997_01_09_423_f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ra_mu_2001_07_23_080_f,3,2,4,3,4,2,3,1,3,3,1,4,3,4,2,3
el_pe_2002_12_11_000_f,3,1,4,4,4,1,1,1,3,3,1,4,4,4,3,3
ma_sp_2002_07_30_267_f,3,3,4,1,3,2,2,2,3,3,2,1,1,4,3,3
fr_ma_1987_09_29_884_f,3,2,4,2,4,2,2,1,3,2,2,3,2,4,3,3
da_la_1970_02_28_647_f,3,3,4,2,4,1,2,1,2,2,1,2,2,4,3,4
sa_fe_1996_10_20_817_f,2,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3
to_va_1990_04_12_949_m,2,2,4,3,4,3,2,1,3,2,2,3,3,4,3,3
gi_bo_1997_08_17_692_f,1,3,3,1,3,4,3,1,1,1,2,2,1,3,1,3
fi_ca_1992_11_24_582_m,2,3,2,3,3,3,3,2,3,3,2,3,3,2,3,3
cr_vo_1965_01_01_813_f,2,2,4,3,3,2,2,1,2,2,2,3,3,4,2,2
ed_sa_2001_05_16_570_m,3,3,3,2,3,2,3,1,3,3,2,3,3,4,3,3
fr_ad_1992_08_25_621_m,3,4,4,1,4,4,4,1,2,2,1,4,2,4,3,4
ya_la_2001_05_17_494_f,3,3,4,1,3,4,3,2,2,2,2,2,1,4,2,2
ma_ze_1997_04_28_306_m,3,3,4,2,3,2,3,2,3,3,1,2,2,4,3,3
to_ca_1992_08_19_294_m,2,3,4,1,4,2,3,1,3,2,1,1,1,4,4,4
na_at_1989_11_23_808_m,3,3,4,3,3,2,2,1,3,3,1,3,4,4,3,4
gi_sg_1996_04_09_655_f,2,3,3,2,4,2,3,1,2,3,2,3,2,4,3,2
vi_si_2002_08_19_930_f,3,4,4,3,4,4,4,2,3,3,3,3,3,4,3,3
en_mi_1969_10_31_341_f,2,3,3,2,3,3,4,2,3,2,2,2,2,3,2,2
lu_be_1968_12_14_157_m,2,2,3,1,2,2,3,1,2,2,2,2,2,2,2,1
es_to_1996_04_16_738_f,2,4,4,2,3,3,3,3,3,2,3,3,2,3,3,3
fr_ma_2002_01_18_518_m,2,2,3,2,3,3,1,1,3,3,1,3,2,4,3,3
ma_bo_2000_12_28_153_m,3,3,4,3,3,3,3,2,2,2,2,3,3,4,2,2
ca_de_2000_09_04_000_f,2,3,4,2,4,2,3,1,4,1,1,3,3,4,4,4
el_pe_1985_03_15_417_f,2,3,4,3,4,3,3,1,3,3,2,3,3,4,3,3
no_di_2000_07_09_084_f,2,2,3,1,3,3,3,1,2,3,3,3,2,4,3,4
sa_pe_1998_08_30_140_f,3,2,3,1,3,2,2,1,3,3,2,1,1,4,3,4
sa_gi_2000_09_09_088_f,4,1,4,3,4,2,2,1,4,4,1,3,2,4,4,4
fr_li_1999_01_04_374_f,3,2,4,1,2,2,2,2,3,3,3,2,1,4,3,3
ch_bu_2000_08_28_842_f,2,1,3,2,4,2,1,1,3,3,2,3,1,4,3,3
ma_ca_2000_06_07_374_f,3,2,4,2,4,4,4,1,3,3,1,3,2,4,3,4
ar_fi_2000_09_28_557_f,3,2,4,2,4,3,3,2,3,3,2,3,2,4,3,3
al_ga_2001_01_19_641_f,3,2,4,2,4,2,2,2,3,3,2,3,3,4,3,3
cr_ma_2000_05_04_894_f,2,4,4,2,4,3,3,1,2,2,1,4,1,4,2,3
vi_re_1998_07_07_632_f,3,1,3,2,3,2,1,2,3,3,1,2,2,3,3,3
al_sa_2001_01_08_300_f,3,2,3,2,3,1,2,2,3,3,2,3,2,3,3,3
el_ma_1997_10_19_704_f,3,1,4,1,4,2,2,1,4,4,1,2,1,4,4,4
to_ne_2000_12_15_974_m,3,2,4,3,4,2,2,1,4,3,1,3,2,4,4,4
nu_ta_1976_07_20_360_m,2,2,3,3,3,3,3,1,2,2,2,3,3,3,2,2
se_bo_1999_12_25_497_f,3,1,3,2,3,1,1,1,3,3,1,4,2,4,3,4
ch_va_2000_04_20_119_f,2,3,4,3,4,3,3,1,3,3,2,3,3,4,3,3
lo_ne_1999_03_30_299_f,2,3,3,2,3,3,3,1,4,3,3,2,2,3,4,4
li_ca_1999_12_24_089_f,2,2,4,2,4,2,2,1,3,3,2,2,2,4,3,3
sa_ma_1998_03_17_675_f,2,3,4,4,4,3,2,1,2,3,2,3,4,4,2,2
co_gi_2000_01_27_096_f,4,1,4,2,4,1,1,1,4,4,3,2,2,4,4,4
au_al_2000_09_13_200_f,3,2,4,3,4,2,3,1,4,4,2,2,3,4,3,4
gi_la_2000_04_09_162_f,3,3,3,2,3,3,3,1,3,3,2,3,2,3,3,3
an_ra_1999_05_30_093_f,3,2,4,2,4,2,2,2,4,4,2,3,2,4,4,4
al_fe_1978_06_14_547_f,3,2,3,2,3,2,2,1,2,2,2,3,2,4,2,2
an_sz_1999_07_10_265_f,2,4,3,4,3,3,3,1,3,2,2,3,4,3,3,3
da_ga_2000_10_03_215_f,2,3,3,3,4,3,3,1,3,2,1,3,3,3,3,3
ir_ro_2000_01_09_922_f,3,2,4,1,4,2,3,1,3,1,1,3,1,4,3,4
gi_bi_1999_05_11_480_f,3,2,4,2,4,2,1,1,4,3,1,2,2,4,4,4
ma_cu_2000_10_31_638_f,2,2,3,2,2,2,2,1,3,3,1,3,2,3,3,3
sa_la_2000_07_05_596_f,2,3,3,2,3,3,3,1,3,3,2,3,3,3,4,4
el_le_1998_05_07_212_f,2,3,2,1,1,3,3,2,2,3,3,2,1,3,3,3
co_fa_1998_10_22_572_f,3,2,4,1,3,2,2,1,3,3,3,2,1,4,3,3
ma_ri_2000_10_15_529_f,3,2,4,2,4,2,2,1,3,3,2,3,2,3,3,3
an_va_2000_02_27_112_m,2,2,3,2,4,3,3,1,3,2,2,3,2,3,3,3
fr_di_1999_07_23_617_m,2,4,4,3,4,4,4,1,4,3,1,3,3,4,3,3
ma_tr_2000_11_10_536_f,3,3,3,1,3,3,2,1,3,3,2,2,2,4,3,2
er_co_2000_12_04_084_f,4,1,4,2,4,1,1,1,4,4,1,4,1,4,4,4
ch_ma_2000_06_05_667_f,3,2,4,3,4,3,2,2,3,3,2,3,3,4,3,3
fr_ma_2000_11_07_432_f,1,3,4,2,3,3,3,1,2,3,2,2,1,4,2,2
da_ma_1999_03_20_644_m,3,2,3,4,3,2,1,2,3,3,2,3,4,3,4,3
ar_gi_1994_09_17_143_f,2,3,4,2,3,3,3,2,4,3,2,3,2,4,3,4
ce_bu_2000_04_14_337_f,3,3,4,1,4,3,3,1,3,3,1,2,1,4,3,3
el_bo_2000_07_15_336_f,2,2,4,1,3,3,2,1,2,2,1,2,1,4,2,3
an_st_ve_2002_04_08_976_f,3,2,4,4,4,3,2,2,3,3,2,3,3,4,3,4
ia_an_2000_04_05_431_f,3,3,4,3,3,2,1,1,4,3,2,3,4,4,4,4
fr_vi_1998_02_11_212_f,4,1,4,1,3,1,1,1,4,4,2,1,1,4,4,4
an_fo_2000_11_24_424_f,3,3,4,3,4,3,4,2,3,2,3,3,3,4,3,2
ma_pa_2000_12_15_362_f,3,2,4,3,4,3,3,1,3,3,1,4,3,4,3,3
de_ca_2000_05_13_261_f,3,2,3,3,3,2,2,2,3,3,2,3,3,3,3,3
il_na_2000_03_16_498_f,3,2,4,3,3,2,2,2,4,3,1,3,4,4,3,3
ch_gj_2000_05_02_216_f,4,1,3,3,2,1,1,2,3,4,1,3,3,2,3,4
li_bo_2000_07_24_262_f,3,4,4,4,4,4,4,1,4,4,1,2,4,4,4,4
al_ta_1998_09_06_549_f,3,2,4,4,4,2,1,1,4,4,1,3,3,4,3,3
fr_la_2000_09_28_698_f,2,3,4,3,4,3,3,1,3,3,1,3,3,4,2,3
gi_fe_2000_01_15_967_f,3,3,4,3,3,3,3,1,3,3,1,3,2,4,4,3
fr_fa_1999_04_27_330_f,3,2,4,2,3,1,2,2,4,3,3,3,2,4,2,3
ev_lo_1999_02_08_396_f,2,2,3,1,4,4,3,1,2,3,1,2,1,4,2,3
ed_ca_2000_11_06_086_m,2,4,4,3,3,3,3,1,2,2,1,3,3,4,2,2
ch_ga_2001_11_09_087_f,3,3,3,1,4,3,3,1,2,2,2,2,1,4,2,3
co_gu_2000_07_25_832_f,2,2,3,2,3,2,3,1,1,1,1,3,2,3,1,2
la_ta_2000_03_02_786_f,3,2,4,3,4,2,2,2,3,3,2,2,3,4,3,3
ch_po_2000_08_07_151_f,4,1,4,2,4,1,1,1,4,4,1,2,2,4,4,4
sa_mu_2000_06_16_732_f,3,3,3,2,4,3,3,2,3,3,2,3,2,3,3,3
ju_do_2000_05_23_608_f,1,2,3,2,3,2,2,1,1,1,2,2,2,3,1,1
ir_ro_1999_06_26_855_f,3,2,2,3,4,3,3,2,2,2,1,3,3,4,2,3
no_gi_1998_10_19_821_f,2,3,4,3,3,3,4,2,3,3,2,3,3,3,2,3
il_ga_2000_11_02_873_f,2,2,4,2,4,3,3,1,3,2,1,4,2,3,1,3
au_sa_2000_04_18_979_f,3,2,4,2,3,2,1,2,3,3,2,2,2,4,3,4
mi_an_2000_07_21_542_f,3,1,4,4,4,1,1,1,4,4,1,3,3,4,3,3
gi_ro_1998_03_25_382_f,3,3,4,2,3,2,1,1,3,4,1,2,1,4,3,4
fr_ve_1999_01_07_843_f,3,3,3,2,2,2,2,3,2,3,3,3,2,3,3,3
al_na_2000_11_04_412_f,4,1,4,2,3,1,1,1,4,3,1,2,2,4,3,4
er_ca_1999_01_316_f,3,3,4,2,4,3,3,1,3,2,1,3,3,4,3,3
fe_co_2000_08_09_498_m,2,4,3,1,2,4,4,2,3,3,4,3,1,3,2,3
em_va_2000_02_11_669_f,3,1,4,3,4,1,1,1,3,3,1,2,3,4,3,3
le_st_2000_08_05_068_f,2,4,4,3,4,4,3,2,3,3,1,3,2,4,3,3
an_ga_1999_07_31_073_m,3,2,4,2,4,1,3,2,3,3,2,3,2,4,3,4
be_ba_2000_11_16_082_f,3,1,4,2,4,1,2,1,3,4,2,3,2,4,4,3
cl_be_1980_09_22_062_f,3,2,4,3,4,2,2,1,3,4,1,4,3,4,4,4
ir_co_1996_09_14_990_f,2,3,4,2,4,3,3,1,2,3,1,4,2,4,4,4
va_fa_1992_03_30_800_f,2,3,3,2,3,3,3,2,2,3,2,2,2,3,3,2
gi_de_2000_05_01_126_f,3,2,3,1,3,1,3,1,3,2,1,2,2,3,2,4
il_co_2000_02_17_873_f,4,2,4,2,4,2,2,1,4,3,1,2,3,4,4,4
au_fe_2000_04_16_652_f,3,3,3,2,4,3,3,2,3,3,2,4,2,4,3,3
fr_er_2000_06_09_383_f,3,3,3,1,3,3,3,2,3,3,3,2,1,4,3,3
je_be_1999_12_16_900_f,3,2,4,3,3,2,2,1,3,3,1,3,2,4,3,4
an_pi_2000_08_12_773_f,3,2,4,3,3,2,2,2,3,3,2,3,2,4,3,3
yl_ma_2000_09_16_613_f,3,2,4,1,4,3,3,1,4,3,1,4,1,4,3,4
ma_al_2000_05_26_624_m,3,2,3,2,3,2,2,2,3,3,2,3,2,3,3,3
vi_co_2000_12_01_146_f,2,2,4,2,3,2,3,3,3,3,2,3,2,4,3,3
fr_qu_2000_03_07_391_f,2,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3
ru_ro_1998_07_02_501_f,2,2,4,2,4,2,2,1,2,2,1,2,1,4,2,3
el_lu_2000_01_20_337_f,2,2,3,2,3,2,2,2,3,3,2,3,2,3,3,4
ga_bu_2000_08_06_000_f,3,2,4,2,3,1,2,1,3,3,2,2,3,3,3,3
ca_pa_1999_11_19_544_f,2,3,4,1,3,3,3,1,2,3,2,3,1,4,3,3
ch_be_1998_08_11_011_f,3,1,4,3,4,2,1,1,2,3,1,4,3,4,3,4
ca_ca_2000_12_08_220_f,2,3,4,2,4,3,3,1,3,3,1,3,2,4,2,3
gi_va_2000_10_27_812_f,1,4,4,1,3,4,4,1,2,2,2,2,1,4,2,2
an_bo_1988_08_24_166_f,2,4,4,1,4,3,3,1,1,1,1,1,2,4,1,1
gi_ma_2000_07_03_573_f,3,2,4,2,3,2,2,1,2,3,2,3,2,4,3,3
de_sc_2000_10_27_798_f,3,3,4,1,3,3,3,3,3,3,1,3,2,3,3,3
la_sa_2000_04_24_139_f,2,3,4,3,4,3,3,1,3,2,2,3,2,4,2,3
li_bu_2000_07_13_102_f,3,1,4,4,4,1,1,1,4,4,1,4,3,4,4,4
fr_av_2000_09_06_692_f,2,2,4,2,4,2,2,1,4,4,2,4,2,4,4,4
ce_me_2000_10_03_351_f,2,3,4,2,3,3,3,1,3,3,2,3,2,4,3,3
sa_ro_1999_10_06_740_f,2,2,4,1,4,2,3,2,3,3,3,1,1,4,2,3
gi_pa_1998_09_14_385_f,3,1,3,3,4,1,1,2,4,3,2,4,4,3,4,4
ha_am_1999_12_02_928_f,2,2,3,1,3,2,2,1,2,1,1,2,1,4,3,2
so_al_1998_05_20_025_f,3,3,4,3,4,2,3,1,3,3,2,3,3,4,4,4
il_pa_2000_05_05_178_f,3,2,1,1,4,2,1,3,4,4,3,3,2,3,4,4
fr_ra_1992_07_12_212_f,2,2,4,2,4,2,2,1,3,1,2,2,2,4,2,2
ch_la_2000_08_02_899_f,2,3,4,3,3,4,4,1,2,2,3,3,3,3,2,2
fr_ar_2000_09_23_472_f,2,4,4,1,4,3,2,1,2,1,1,3,3,4,3,3
so_co_2000_05_03_616_f,3,2,4,2,4,2,2,1,3,3,1,3,3,4,3,3
si_pa_1999_07_07_119_f,4,2,4,2,4,1,2,1,4,4,2,1,1,4,4,4
sa_ce_2000_05_29_332_f,1,4,4,1,3,3,2,1,1,2,1,3,2,4,1,1
cl_ro_1999_09_14_930_f,2,3,3,1,4,4,3,1,2,2,1,1,1,4,2,3
